hcp_id,total_event_activities,event_registrations,event_attendance,event_attendance_rate,avg_event_attendance_duration,max_event_attendance_duration,event_questions,event_polls,last_event_activity,last_event_engagement,days_since_last_event_engagement,days_since_last_event_activity
HCP0016,5,3,2,0.6667,60.0,65.0,3.0,0.0,2026-07-22T09:00:00.000Z,2026-06-07T06:12:24.827Z,70,25
HCP0022,3,2,1,0.5000,50.0,50.0,3.0,0.0,2026-07-27T03:22:45.517Z,2026-07-27T03:22:45.517Z,20,20
HCP0036,7,4,3,0.7500,69.0,86.0,4.0,0.0,2026-04-18T06:02:04.137Z,2026-04-18T06:02:04.137Z,120,120
HCP0047,13,7,6,0.8571,47.0,83.0,6.0,0.0,2026-06-07T10:12:24.827Z,2026-06-07T10:12:24.827Z,70,70
HCP0069,4,3,1,0.3333,30.0,30.0,0.0,3.0,2026-07-21T09:00:00.000Z,2026-03-27T23:06:12.413Z,142,26
HCP0074,10,6,4,0.6667,48.75,71.0,6.0,0.0,2026-06-18T08:49:39.310Z,2026-03-20T21:47:35.172Z,149,59
HCP0087,5,3,2,0.6667,50.5,58.0,0.0,3.0,2026-06-21T15:49:39.310Z,2026-06-21T15:49:39.310Z,56,56
HCP0101,10,7,3,0.4286,73.0,92.0,0.0,3.0,2026-08-03T12:41:22.758Z,2026-08-03T12:41:22.758Z,13,13
HCP0109,4,2,2,1.0000,58.5,62.0,1.0,0.0,2026-07-05T18:26:53.793Z,2026-07-05T18:26:53.793Z,42,42
HCP0121,10,5,5,1.0000,37.6,84.0,0.0,3.0,2026-07-27T04:22:45.517Z,2026-07-27T04:22:45.517Z,20,20
HCP0136,6,3,3,1.0000,52.0,73.0,2.0,5.0,2026-05-31T02:53:47.586Z,2026-05-31T02:53:47.586Z,77,77
HCP0137,2,1,1,1.0000,41.0,41.0,0.0,0.0,2026-04-03T21:24:49.655Z,2026-04-03T21:24:49.655Z,135,135
HCP0146,4,2,2,1.0000,50.0,70.0,0.0,0.0,2026-04-25T10:20:41.379Z,2026-04-25T10:20:41.379Z,113,113
HCP0180,9,5,4,0.8000,66.25,91.0,2.0,7.0,2026-07-20T01:04:08.275Z,2026-07-20T01:04:08.275Z,27,27
HCP0226,5,3,2,0.6667,55.0,68.0,3.0,2.0,2026-07-20T06:04:08.275Z,2026-07-20T06:04:08.275Z,27,27
