hcp_id,total_veeva_interactions,in_person_visits,phone_calls,virtual_meetings,completed_interactions,cancelled_interactions,no_show_interactions,avg_interaction_duration_minutes,max_interaction_duration_minutes,followups_required,last_veeva_activity,last_veeva_engagement,days_since_last_veeva_engagement,days_since_last_veeva_activity
HCP0016,5,4,1,0,4,1,0,30.6,46.0,1,2026-07-28T04:07:27.000Z,2026-07-28T04:07:27.000Z,19,19
HCP0022,12,6,3,3,12,0,0,33.25,60.0,8,2026-07-28T05:28:06.000Z,2026-07-28T05:28:06.000Z,19,19
HCP0036,3,0,3,0,3,0,0,11.67,13.0,1,2026-05-17T20:06:16.000Z,2026-05-17T20:06:16.000Z,91,91
HCP0047,6,5,1,0,5,1,0,42.33,59.0,3,2026-07-13T14:33:59.000Z,2026-07-13T14:33:59.000Z,34,34
HCP0069,6,3,3,0,4,2,0,26.17,53.0,0,2026-07-11T02:18:52.000Z,2026-07-11T02:18:52.000Z,36,36
HCP0074,5,2,3,0,4,0,1,24.6,45.0,1,2026-07-21T11:34:28.000Z,2026-07-21T11:34:28.000Z,26,26
HCP0087,3,2,0,1,3,0,0,28.67,40.0,1,2026-06-23T17:45:09.000Z,2026-06-23T17:45:09.000Z,54,54
HCP0101,9,6,2,1,9,0,0,34.44,51.0,3,2026-07-14T04:17:28.000Z,2026-07-14T04:17:28.000Z,33,33
HCP0109,5,1,1,3,5,0,0,25.0,47.0,1,2026-07-05T07:16:23.000Z,2026-07-05T07:16:23.000Z,42,42
HCP0121,7,2,3,2,7,0,0,20.14,37.0,4,2026-07-22T19:51:31.000Z,2026-07-22T19:51:31.000Z,25,25
HCP0136,8,6,1,1,8,0,0,42.63,59.0,3,2026-07-27T04:52:08.000Z,2026-07-27T04:52:08.000Z,20,20
HCP0137,11,8,0,3,6,3,2,39.27,55.0,4,2026-08-14T22:07:48.000Z,2026-07-31T05:38:14.000Z,16,2
HCP0146,9,7,1,1,8,0,1,41.0,55.0,2,2026-08-11T21:38:42.000Z,2026-08-11T21:38:42.000Z,5,5
HCP0180,7,3,1,3,6,0,1,32.57,47.0,2,2026-06-01T10:00:21.000Z,2026-06-01T10:00:21.000Z,76,76
HCP0226,5,4,1,0,3,1,1,44.2,59.0,1,2026-08-05T22:45:00.000Z,2026-08-05T22:45:00.000Z,11,11
HCP0243,5,2,3,0,5,0,0,26.8,55.0,3,2026-05-27T05:34:10.000Z,2026-05-27T05:34:10.000Z,81,81
HCP0251,6,2,4,0,5,1,0,25.33,50.0,2,2026-05-21T20:58:27.000Z,2026-05-21T20:58:27.000Z,87,87
HCP0255,6,1,2,3,6,0,0,26.67,42.0,2,2026-07-30T23:17:41.000Z,2026-07-30T23:17:41.000Z,17,17
HCP0256,11,5,4,2,10,0,1,26.27,46.0,4,2026-06-27T06:41:16.000Z,2026-06-12T00:47:11.000Z,65,50
HCP0287,10,5,3,2,9,1,0,28.7,58.0,5,2026-07-30T00:22:28.000Z,2026-07-30T00:22:28.000Z,17,17
HCP0318,9,5,1,3,7,1,1,30.56,52.0,3,2026-06-26T20:45:42.000Z,2026-06-26T19:20:22.000Z,51,51
HCP0343,8,4,0,4,8,0,0,42.75,57.0,3,2026-06-29T08:53:32.000Z,2026-06-29T08:53:32.000Z,48,48
HCP0352,5,1,2,2,5,0,0,28.6,50.0,3,2026-06-20T05:13:37.000Z,2026-06-20T05:13:37.000Z,57,57
HCP0359,5,4,1,0,5,0,0,41.8,57.0,5,2026-08-11T13:33:05.000Z,2026-08-11T13:33:05.000Z,5,5
HCP0403,10,7,0,3,10,0,0,40.3,59.0,7,2026-08-07T02:55:03.000Z,2026-08-07T02:55:03.000Z,9,9
HCP0449,4,1,1,2,3,1,0,21.5,33.0,1,2026-08-01T21:23:47.000Z,2026-08-01T21:23:47.000Z,15,15
HCP0452,7,4,3,0,6,0,1,30.29,51.0,4,2026-08-09T13:02:50.000Z,2026-08-09T13:02:50.000Z,7,7
HCP0457,4,3,0,1,4,0,0,35.5,49.0,2,2026-07-15T10:42:23.000Z,2026-07-15T10:42:23.000Z,32,32
