veeva_event_id,hcp_id,interaction_id,campaign_id,drug_id,interaction_type,interaction_timestamp,interaction_duration_minutes,interaction_status,interaction_purpose,discussion_topic,follow_up_required,follow_up_date,rep_id,territory,channel,source_system
VEEEVT00002161,HCP0314,INT0002161,CAMP0012,DRUG004,Phone Call,2026-01-01 00:28:00,19,Cancelled,Treatment Update,Clinical Evidence,False,,REP029,South,Representative,Veeva_CRM
VEEEVT00008157,HCP1164,INT0008157,CAMP0018,DRUG006,In-Person Visit,2026-01-01 00:31:12,36,Completed,Follow-up Discussion,Efficacy,True,2026-01-12 00:31:12,REP030,North,Representative,Veeva_CRM
VEEEVT00001891,HCP0275,INT0001891,CAMP0012,DRUG004,Phone Call,2026-01-01 01:28:30,10,Completed,New Product Introduction,Patient Population,False,,REP004,West,Representative,Veeva_CRM
VEEEVT00006902,HCP0984,INT0006902,CAMP0013,DRUG005,Virtual Meeting,2026-01-01 01:30:44,34,Completed,Follow-up Discussion,Product Information,False,,REP001,East,Representative,Veeva_CRM
VEEEVT00005077,HCP0726,INT0005077,CAMP0013,DRUG005,Phone Call,2026-01-01 01:51:27,15,No Show,Follow-up Discussion,Dosage,False,,REP017,South,Representative,Veeva_CRM
VEEEVT00006007,HCP0858,INT0006007,CAMP0023,DRUG008,Phone Call,2026-01-01 02:02:13,8,Completed,New Product Introduction,Efficacy,False,,REP030,East,Representative,Veeva_CRM
VEEEVT00004588,HCP0657,INT0004588,CAMP0002,DRUG001,In-Person Visit,2026-01-01 02:10:14,51,Completed,Clinical Evidence,Safety,True,2026-01-13 02:10:14,REP019,North,Representative,Veeva_CRM
VEEEVT00010954,HCP1562,INT0010954,CAMP0018,DRUG006,In-Person Visit,2026-01-01 02:11:06,55,Cancelled,Clinical Evidence,Efficacy,False,,REP028,North,Representative,Veeva_CRM
VEEEVT00003185,HCP0459,INT0003185,CAMP0022,DRUG008,Phone Call,2026-01-01 02:16:48,16,Completed,Clinical Evidence,Dosage,True,2026-01-09 02:16:48,REP025,West,Representative,Veeva_CRM
VEEEVT00006936,HCP0990,INT0006936,CAMP0015,DRUG005,Virtual Meeting,2026-01-01 02:20:21,42,Completed,Disease Education,Efficacy,True,2026-01-14 02:20:21,REP009,East,Representative,Veeva_CRM
VEEEVT00008220,HCP1173,INT0008220,CAMP0018,DRUG006,Virtual Meeting,2026-01-01 02:21:29,42,Completed,Treatment Update,Product Information,True,2026-01-08 02:21:29,REP014,North,Representative,Veeva_CRM
VEEEVT00000925,HCP0136,INT0000925,CAMP0013,DRUG005,In-Person Visit,2026-01-01 02:23:40,41,Completed,Product Discussion,Efficacy,False,,REP007,North,Representative,Veeva_CRM
VEEEVT00011989,HCP1704,INT0011989,CAMP0019,DRUG007,Phone Call,2026-01-01 02:49:44,19,Completed,New Product Introduction,Safety,False,,REP021,West,Representative,Veeva_CRM
VEEEVT00006131,HCP0873,INT0006131,CAMP0003,DRUG001,Phone Call,2026-01-01 03:08:46,19,Completed,Clinical Evidence,Safety,False,,REP004,East,Representative,Veeva_CRM
VEEEVT00002295,HCP0334,INT0002295,CAMP0021,DRUG007,Phone Call,2026-01-01 04:42:53,6,Completed,New Product Introduction,Clinical Evidence,False,,REP014,West,Representative,Veeva_CRM
VEEEVT00013129,HCP1869,INT0013129,CAMP0018,DRUG006,In-Person Visit,2026-01-01 05:00:01,53,Cancelled,Follow-up Discussion,Efficacy,False,,REP030,West,Representative,Veeva_CRM
VEEEVT00011990,HCP1704,INT0011990,CAMP0003,DRUG001,Virtual Meeting,2026-01-01 05:30:45,32,Cancelled,New Product Introduction,Safety,False,,REP028,West,Representative,Veeva_CRM
VEEEVT00005694,HCP0813,INT0005694,CAMP0009,DRUG003,In-Person Visit,2026-01-01 06:20:21,58,Completed,Clinical Evidence,Clinical Evidence,True,2026-01-12 06:20:21,REP008,South,Representative,Veeva_CRM
VEEEVT00003456,HCP0499,INT0003456,CAMP0006,DRUG002,Virtual Meeting,2026-01-01 06:24:32,18,No Show,Treatment Update,Patient Population,False,,REP009,West,Representative,Veeva_CRM
VEEEVT00007974,HCP1136,INT0007974,CAMP0015,DRUG005,Phone Call,2026-01-01 06:29:15,11,Completed,Follow-up Discussion,Dosage,True,2026-01-07 06:29:15,REP015,West,Representative,Veeva_CRM
VEEEVT00013894,HCP1973,INT0013894,CAMP0018,DRUG006,In-Person Visit,2026-01-01 07:09:28,40,Completed,Disease Education,Treatment Guidelines,False,,REP013,West,Representative,Veeva_CRM
VEEEVT00002152,HCP0313,INT0002152,CAMP0018,DRUG006,In-Person Visit,2026-01-01 07:24:21,30,Completed,Treatment Update,Clinical Evidence,False,,REP016,West,Representative,Veeva_CRM
VEEEVT00012682,HCP1805,INT0012682,CAMP0015,DRUG005,Virtual Meeting,2026-01-01 07:36:01,19,Completed,Treatment Update,Patient Population,True,2026-01-07 07:36:01,REP005,North,Representative,Veeva_CRM
VEEEVT00002733,HCP0392,INT0002733,CAMP0002,DRUG001,In-Person Visit,2026-01-01 07:54:16,54,Completed,Clinical Evidence,Dosage,False,,REP018,South,Representative,Veeva_CRM
VEEEVT00000958,HCP0139,INT0000958,CAMP0020,DRUG007,Virtual Meeting,2026-01-01 08:05:00,30,Completed,Clinical Evidence,Product Information,False,,REP003,East,Representative,Veeva_CRM
VEEEVT00000827,HCP0124,INT0000827,CAMP0001,DRUG001,Phone Call,2026-01-01 08:07:00,11,Completed,Clinical Evidence,Safety,False,,REP009,South,Representative,Veeva_CRM
VEEEVT00011334,HCP1615,INT0011334,CAMP0009,DRUG003,Phone Call,2026-01-01 08:25:04,15,Completed,Clinical Evidence,Product Information,False,,REP018,East,Representative,Veeva_CRM
VEEEVT00011882,HCP1689,INT0011882,CAMP0004,DRUG002,Phone Call,2026-01-01 08:27:09,12,Completed,Product Discussion,Product Information,True,2026-01-05 08:27:09,REP019,South,Representative,Veeva_CRM
VEEEVT00011726,HCP1668,INT0011726,CAMP0024,DRUG008,Virtual Meeting,2026-01-01 09:30:08,15,No Show,Disease Education,Clinical Evidence,False,,REP022,North,Representative,Veeva_CRM
VEEEVT00005719,HCP0816,INT0005719,CAMP0001,DRUG001,In-Person Visit,2026-01-01 10:02:24,35,Completed,Product Discussion,Product Information,False,,REP009,South,Representative,Veeva_CRM
VEEEVT00002607,HCP0373,INT0002607,CAMP0024,DRUG008,In-Person Visit,2026-01-01 10:03:23,52,Completed,Treatment Update,Clinical Evidence,True,2026-01-13 10:03:23,REP023,East,Representative,Veeva_CRM
VEEEVT00002121,HCP0309,INT0002121,CAMP0012,DRUG004,In-Person Visit,2026-01-01 10:26:28,39,Completed,Disease Education,Product Information,False,,REP023,East,Representative,Veeva_CRM
VEEEVT00002908,HCP0417,INT0002908,CAMP0014,DRUG005,Phone Call,2026-01-01 10:43:51,16,Completed,Disease Education,Efficacy,True,2026-01-04 10:43:51,REP013,South,Representative,Veeva_CRM
VEEEVT00005629,HCP0804,INT0005629,CAMP0014,DRUG005,Phone Call,2026-01-01 10:53:43,12,Cancelled,Product Discussion,Treatment Guidelines,False,,REP006,South,Representative,Veeva_CRM
VEEEVT00012601,HCP1795,INT0012601,CAMP0019,DRUG007,In-Person Visit,2026-01-01 11:04:55,56,Completed,Follow-up Discussion,Treatment Guidelines,True,2026-01-11 11:04:55,REP004,South,Representative,Veeva_CRM
VEEEVT00004403,HCP0629,INT0004403,CAMP0020,DRUG007,Phone Call,2026-01-01 11:22:39,17,Completed,Follow-up Discussion,Patient Population,True,2026-01-13 11:22:39,REP010,West,Representative,Veeva_CRM
VEEEVT00010251,HCP1464,INT0010251,CAMP0021,DRUG007,Phone Call,2026-01-01 11:35:42,20,Completed,Treatment Update,Treatment Guidelines,True,2026-01-14 11:35:42,REP025,East,Representative,Veeva_CRM
VEEEVT00013047,HCP1856,INT0013047,CAMP0009,DRUG003,Virtual Meeting,2026-01-01 11:45:54,26,Completed,Product Discussion,Patient Population,True,2026-01-14 11:45:54,REP030,North,Representative,Veeva_CRM
VEEEVT00002498,HCP0358,INT0002498,CAMP0010,DRUG004,In-Person Visit,2026-01-01 12:03:37,56,Completed,New Product Introduction,Safety,False,,REP026,South,Representative,Veeva_CRM
VEEEVT00009079,HCP1293,INT0009079,CAMP0017,DRUG006,Virtual Meeting,2026-01-01 12:14:07,31,Cancelled,Follow-up Discussion,Dosage,False,,REP007,South,Representative,Veeva_CRM
VEEEVT00011030,HCP1572,INT0011030,CAMP0024,DRUG008,Phone Call,2026-01-01 12:28:34,12,Completed,Treatment Update,Safety,False,,REP003,West,Representative,Veeva_CRM
VEEEVT00013043,HCP1856,INT0013043,CAMP0009,DRUG003,Phone Call,2026-01-01 12:36:12,8,Completed,Clinical Evidence,Efficacy,True,2026-01-07 12:36:12,REP007,North,Representative,Veeva_CRM
VEEEVT00005398,HCP0772,INT0005398,CAMP0012,DRUG004,Phone Call,2026-01-01 13:01:58,12,Completed,Clinical Evidence,Patient Population,True,2026-01-14 13:01:58,REP006,West,Representative,Veeva_CRM
VEEEVT00000282,HCP0040,INT0000282,CAMP0005,DRUG002,Virtual Meeting,2026-01-01 13:08:08,30,No Show,Disease Education,Product Information,False,,REP003,South,Representative,Veeva_CRM
VEEEVT00009186,HCP1311,INT0009186,CAMP0004,DRUG002,Phone Call,2026-01-01 13:16:26,10,Completed,Treatment Update,Efficacy,True,2026-01-04 13:16:26,REP014,South,Representative,Veeva_CRM
VEEEVT00004561,HCP0652,INT0004561,CAMP0010,DRUG004,In-Person Visit,2026-01-01 13:57:24,57,Completed,Clinical Evidence,Product Information,False,,REP009,North,Representative,Veeva_CRM
VEEEVT00006785,HCP0967,INT0006785,CAMP0013,DRUG005,In-Person Visit,2026-01-01 14:02:04,47,Completed,Clinical Evidence,Treatment Guidelines,True,2026-01-12 14:02:04,REP028,West,Representative,Veeva_CRM
VEEEVT00003369,HCP0486,INT0003369,CAMP0022,DRUG008,In-Person Visit,2026-01-01 14:12:16,35,Completed,Treatment Update,Efficacy,False,,REP017,West,Representative,Veeva_CRM
VEEEVT00008832,HCP1258,INT0008832,CAMP0004,DRUG002,In-Person Visit,2026-01-01 14:36:53,37,Completed,Treatment Update,Safety,False,,REP018,North,Representative,Veeva_CRM
VEEEVT00013807,HCP1964,INT0013807,CAMP0023,DRUG008,In-Person Visit,2026-01-01 14:47:46,32,Completed,Treatment Update,Treatment Guidelines,True,2026-01-15 14:47:46,REP027,North,Representative,Veeva_CRM
VEEEVT00000751,HCP0112,INT0000751,CAMP0020,DRUG007,Phone Call,2026-01-01 14:53:01,7,Completed,Product Discussion,Treatment Guidelines,False,,REP024,West,Representative,Veeva_CRM
VEEEVT00003472,HCP0501,INT0003472,CAMP0012,DRUG004,Phone Call,2026-01-01 15:29:01,18,Completed,Disease Education,Clinical Evidence,False,,REP025,East,Representative,Veeva_CRM
VEEEVT00012046,HCP1713,INT0012046,CAMP0021,DRUG007,Virtual Meeting,2026-01-01 16:06:00,28,Completed,Follow-up Discussion,Product Information,True,2026-01-11 16:06:00,REP028,East,Representative,Veeva_CRM
VEEEVT00000114,HCP0018,INT0000114,CAMP0002,DRUG001,In-Person Visit,2026-01-01 16:10:10,42,Completed,Clinical Evidence,Dosage,True,2026-01-14 16:10:10,REP011,East,Representative,Veeva_CRM
VEEEVT00002984,HCP0429,INT0002984,CAMP0012,DRUG004,Phone Call,2026-01-01 16:37:27,5,Completed,Treatment Update,Safety,False,,REP020,South,Representative,Veeva_CRM
VEEEVT00010387,HCP1483,INT0010387,CAMP0005,DRUG002,Virtual Meeting,2026-01-01 17:14:35,24,Completed,Disease Education,Efficacy,True,2026-01-12 17:14:35,REP022,West,Representative,Veeva_CRM
VEEEVT00007003,HCP0999,INT0007003,CAMP0002,DRUG001,In-Person Visit,2026-01-01 17:24:11,57,Completed,Follow-up Discussion,Safety,False,,REP005,East,Representative,Veeva_CRM
VEEEVT00007578,HCP1082,INT0007578,CAMP0004,DRUG002,Virtual Meeting,2026-01-01 17:43:03,31,Completed,Disease Education,Patient Population,False,,REP029,West,Representative,Veeva_CRM
VEEEVT00000516,HCP0078,INT0000516,CAMP0021,DRUG007,Phone Call,2026-01-01 17:59:28,11,Completed,Disease Education,Dosage,True,2026-01-11 17:59:28,REP002,West,Representative,Veeva_CRM
VEEEVT00002659,HCP0381,INT0002659,CAMP0001,DRUG001,Phone Call,2026-01-01 18:04:35,9,Completed,Treatment Update,Product Information,True,2026-01-07 18:04:35,REP030,North,Representative,Veeva_CRM
VEEEVT00013990,HCP1986,INT0013990,CAMP0003,DRUG001,In-Person Visit,2026-01-01 18:24:42,43,Completed,Treatment Update,Clinical Evidence,False,,REP028,East,Representative,Veeva_CRM
VEEEVT00007851,HCP1117,INT0007851,CAMP0011,DRUG004,Phone Call,2026-01-01 18:28:09,8,Completed,Treatment Update,Efficacy,False,,REP018,East,Representative,Veeva_CRM
VEEEVT00001539,HCP0223,INT0001539,CAMP0021,DRUG007,In-Person Visit,2026-01-01 18:28:28,42,Completed,New Product Introduction,Patient Population,False,,REP010,West,Representative,Veeva_CRM
VEEEVT00004000,HCP0574,INT0004000,CAMP0016,DRUG006,In-Person Visit,2026-01-01 18:52:24,35,Completed,New Product Introduction,Safety,True,2026-01-10 18:52:24,REP018,East,Representative,Veeva_CRM
VEEEVT00010982,HCP1566,INT0010982,CAMP0001,DRUG001,In-Person Visit,2026-01-01 18:59:31,38,Completed,Clinical Evidence,Safety,False,,REP022,West,Representative,Veeva_CRM
VEEEVT00009624,HCP1374,INT0009624,CAMP0002,DRUG001,In-Person Visit,2026-01-01 19:21:53,55,Completed,New Product Introduction,Patient Population,False,,REP021,North,Representative,Veeva_CRM
VEEEVT00005920,HCP0847,INT0005920,CAMP0022,DRUG008,In-Person Visit,2026-01-01 19:26:00,28,Completed,Clinical Evidence,Safety,True,2026-01-08 19:26:00,REP009,East,Representative,Veeva_CRM
VEEEVT00007250,HCP1036,INT0007250,CAMP0024,DRUG008,In-Person Visit,2026-01-01 20:20:49,31,Completed,Disease Education,Dosage,True,2026-01-11 20:20:49,REP010,West,Representative,Veeva_CRM
VEEEVT00005143,HCP0737,INT0005143,CAMP0022,DRUG008,Virtual Meeting,2026-01-01 20:37:35,15,Completed,New Product Introduction,Clinical Evidence,True,2026-01-06 20:37:35,REP021,East,Representative,Veeva_CRM
VEEEVT00011297,HCP1609,INT0011297,CAMP0016,DRUG006,Phone Call,2026-01-01 20:52:55,7,Completed,Follow-up Discussion,Clinical Evidence,True,2026-01-06 20:52:55,REP018,East,Representative,Veeva_CRM
VEEEVT00010818,HCP1545,INT0010818,CAMP0009,DRUG003,In-Person Visit,2026-01-01 21:15:24,40,Completed,New Product Introduction,Product Information,True,2026-01-03 21:15:24,REP012,South,Representative,Veeva_CRM
VEEEVT00009966,HCP1422,INT0009966,CAMP0002,DRUG001,Virtual Meeting,2026-01-01 21:30:27,44,Completed,New Product Introduction,Product Information,False,,REP003,North,Representative,Veeva_CRM
VEEEVT00010762,HCP1538,INT0010762,CAMP0012,DRUG004,Phone Call,2026-01-01 21:55:55,12,Completed,New Product Introduction,Product Information,True,2026-01-07 21:55:55,REP026,North,Representative,Veeva_CRM
VEEEVT00005935,HCP0850,INT0005935,CAMP0010,DRUG004,Virtual Meeting,2026-01-01 22:10:30,37,Completed,Disease Education,Safety,False,,REP002,North,Representative,Veeva_CRM
VEEEVT00001845,HCP0268,INT0001845,CAMP0019,DRUG007,Virtual Meeting,2026-01-01 22:42:20,36,Completed,Clinical Evidence,Safety,False,,REP007,West,Representative,Veeva_CRM
VEEEVT00006146,HCP0876,INT0006146,CAMP0023,DRUG008,Virtual Meeting,2026-01-01 23:04:26,24,Completed,Treatment Update,Efficacy,False,,REP004,East,Representative,Veeva_CRM
VEEEVT00001299,HCP0190,INT0001299,CAMP0012,DRUG004,Virtual Meeting,2026-01-01 23:32:22,45,Completed,Disease Education,Product Information,False,,REP013,North,Representative,Veeva_CRM
VEEEVT00009074,HCP1292,INT0009074,CAMP0019,DRUG007,Phone Call,2026-01-01 23:47:19,15,Completed,Clinical Evidence,Dosage,False,,REP021,South,Representative,Veeva_CRM
VEEEVT00010141,HCP1448,INT0010141,CAMP0003,DRUG001,In-Person Visit,2026-01-01 23:50:27,52,Completed,Disease Education,Clinical Evidence,False,,REP026,West,Representative,Veeva_CRM
VEEEVT00002056,HCP0300,INT0002056,CAMP0015,DRUG005,In-Person Visit,2026-01-01 23:50:49,60,Completed,New Product Introduction,Clinical Evidence,True,2026-01-11 23:50:49,REP004,West,Representative,Veeva_CRM
