event_activity_id,hcp_id,event_id,campaign_id,drug_id,event_name,event_type,event_activity_type,activity_timestamp,registration_status,attendance_status,attendance_duration_minutes,questions_asked,poll_responses,device_type,source_system
EVTACT00003212,HCP0515,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004623,HCP0728,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00003843,HCP0603,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00011993,HCP1848,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00006965,HCP1083,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00008708,HCP1353,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00005776,HCP0898,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00012847,HCP1977,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00009073,HCP1408,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00011726,HCP1809,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00007315,HCP1141,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00006149,HCP0958,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00002869,HCP0454,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00003780,HCP0594,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 08:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00001321,HCP0226,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 09:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00007491,HCP1166,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 09:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00006540,HCP1015,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 09:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00002246,HCP0362,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 09:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00001349,HCP0229,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 09:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00001444,HCP0242,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 09:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004783,HCP0753,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 10:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00001544,HCP0257,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 10:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00008947,HCP1389,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 10:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00004246,HCP0670,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 10:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00003109,HCP0498,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 10:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00000295,HCP0054,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 11:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00000232,HCP0042,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 11:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00002148,HCP0345,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 11:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00006268,HCP0974,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00009973,HCP1549,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00000555,HCP0096,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00002510,HCP0402,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00011048,HCP1710,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00000423,HCP0074,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00010936,HCP1694,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00010320,HCP1601,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00010827,HCP1678,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004478,HCP0706,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00003761,HCP0591,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00000181,HCP0033,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00005934,HCP0923,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00009106,HCP1412,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00008757,HCP1359,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 12:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00001196,HCP0203,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 13:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00006189,HCP0965,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 13:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00003274,HCP0526,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 13:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00012683,HCP1948,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 13:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00008903,HCP1381,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 14:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00002416,HCP0390,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 14:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00007853,HCP1221,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 14:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00003063,HCP0492,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 14:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00012931,HCP1990,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 14:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00010174,HCP1578,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 14:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00003301,HCP0528,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 15:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00005203,HCP0823,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 15:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00003161,HCP0507,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 15:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00002639,HCP0421,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 15:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00011165,HCP1726,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 15:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00007927,HCP1231,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 16:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00008514,HCP1322,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 16:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
